Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
SUNNYSIDE,7,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Residence,True,True,False,False
KILLARNEY/GLENGARRY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Spanish Colonial Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
SCARBORO,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
WEST HILLHURST,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Education,False,False,False,False
OGDEN,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
PARKDALE,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
PARKDALE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
EAU CLAIRE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,C,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,True,False
BELTLINE,8,Community Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Other,Commerce,False,False,False,False
PARKDALE,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage/Builder’s Cottage,Residence,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Commerce,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,True,False
CHINATOWN,7,Community Historic Resource,1946,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Commerce,False,False,True,False
BELTLINE,8,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Other,Commerce,False,False,True,False
SCARBORO,8,Community Historic Resource,1923,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Residence,False,False,False,False
WEST HILLHURST,7,City Wide Historic Resource,1966,1957 to 1982 (Modern),(Neo)Expressionist,Community,False,True,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,False,False,False
STRATHCONA PARK,6,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Food Supply,False,False,True,False
BOWNESS,1,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,False,False,False,False
WINSTON HEIGHTS/MOUNTVIEW,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
LOWER MOUNT ROYAL,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,True,False
CURRIE BARRACKS,8,City Wide Historic Resource,1940,1940 to 1945 (WWII),Unknown,Defence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1894,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Education,True,False,False,False
HILLHURST,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1958,1957 to 1982 (Modern),International,Commerce,False,False,True,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
LOWER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,False,False,True,False
SHAGANAPPI,8,Community Historic Resource,1914,1914 to 1918 (WWI),Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1964,1957 to 1982 (Modern),Unknown,Commerce,False,False,True,False
SOUTH CALGARY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
HILLHURST,7,City Wide Historic Resource,1921,1919 to 1929 (Post WWI to Stock Market Crash),Collegiate Gothic,Education,True,False,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,True,False,False
ELBOW PARK,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
MONTGOMERY,7,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
BOWNESS,1,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
TUXEDO PARK,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
PARKDALE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
RENFREW,9,Community Historic Resource,1959,1957 to 1982 (Modern),Art Moderne/Streamlined Moderne,Transport,False,False,True,False
HILLHURST,7,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
HILLHURST,7,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Foursquare,Education,True,True,False,False
HILLHURST,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,"Religion, Ritual and Funeral",False,False,False,False
HILLHURST,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
DOWNTOWN EAST VILLAGE,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,True,False,False
Crescent Heights,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Residence,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Industry,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Government,True,True,False,False
BOWNESS,1,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,C,1901,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1964,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Education,False,True,False,False
MISSION,8,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Health and Research,False,True,False,False
FOREST LAWN,9,City Wide Historic Resource,1962,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,False,False
SOUTHWOOD,11,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Food Supply,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Commerce,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,True,False,False
MISSION,8,City Wide Historic Resource,1930,1930 to 1939 (Depression),Art Moderne/Streamlined Moderne,"Religion, Ritual and Funeral",False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1891,1885 to 1905 (Railway/Early Settlement),Romanesque/Richardsonian Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Chicago Commercial Style,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Commerce,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1881,1875 to 1884 (Frontier),Log,Commerce,True,False,False,False
HILLHURST,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,False,False,False
ELBOYA,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1886,1885 to 1905 (Railway/Early Settlement),Classical Revival,Commerce,True,True,False,False
BELTLINE,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Stripped Classical,Commerce,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1967,1957 to 1982 (Modern),Unknown,Community,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1936,1930 to 1939 (Depression),Unknown,Leisure,False,False,False,False
MISSION,8,Community Historic Resource,1910,1946 to 1956 (Oil Boom),Unknown,Residence,False,False,False,False
FOOTHILLS,9,City Wide Historic Resource,1963,1957 to 1982 (Modern),(Neo)Expressionist,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Stripped Classical,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BANKVIEW,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BOWNESS,1,City Wide Historic Resource,1934,1930 to 1939 (Depression),Log,Residence,False,False,False,False
SCARBORO,8,Community Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),International,Commerce,False,False,True,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1952,1946 to 1956 (Oil Boom),International,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Commerce,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,True
UPPER MOUNT ROYAL,8,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
SHAGANAPPI,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Food Supply,False,False,False,False
LOWER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Colonial Revival,Residence,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1937,1930 to 1939 (Depression),Spanish Colonial Revival,"Religion, Ritual and Funeral",False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1893,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Commerce,False,False,False,False
CHINATOWN,7,City Wide Historic Resource,1960,1957 to 1982 (Modern),Unknown,Commerce,False,False,False,False
BELTLINE,8,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Dutch Colonial Revival,Mixed Use,False,False,True,False
INGLEWOOD,9,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,True,False,False
SOUTH CALGARY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
SOUTH CALGARY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1934,1930 to 1939 (Depression),Unknown,Leisure,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1920,1919 to 1929 (Post WWI to Stock Market Crash),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
ERLTON,8,City Wide Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Unknown,"Religion, Ritual and Funeral",False,False,False,False
HILLHURST,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1969,1957 to 1982 (Modern),International,Government,False,False,False,False
RAMSAY,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
MOUNT PLEASANT,7,Community Historic Resource,1917,1914 to 1918 (WWI),American Colonial Revival,Residence,False,False,False,False
LOWER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,True,True,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
RAMSAY,9,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage/Builder’s Cottage,Residence,False,False,True,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,True,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Health and Research,False,True,False,False
ST. ANDREWS HEIGHTS,7,City Wide Historic Resource,1967,1957 to 1982 (Modern),Mid-Century Modern Residential,Residence,False,True,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1938,1930 to 1939 (Depression),Unknown,Industry,False,False,False,False
CAPITOL HILL,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Other,Commerce,False,False,True,False
DOWNTOWN WEST END,8,City Wide Historic Resource,1948,1946 to 1956 (Oil Boom),International,Education,False,False,False,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,True,False,False
SOUTH CALGARY,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,True,False,False
HILLHURST,7,Community Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Other,Community,False,False,False,False
MOUNT PLEASANT,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
SUNNYSIDE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage/Builder’s Cottage,Residence,False,False,False,False
ROSEDALE,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,True,False
RAMSAY,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Foursquare,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",True,True,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
MIDNAPORE,14,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,"Religion, Ritual and Funeral",True,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
MISSION,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
BANKVIEW,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
HUNTINGTON HILLS,4,City Wide Historic Resource,1971,1957 to 1982 (Modern),(Neo)Expressionist,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
ROSEDALE,7,Community Historic Resource,1952,1946 to 1956 (Oil Boom),International,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,True,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1970,1957 to 1982 (Modern),Other,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Chicago Commercial Style,Commerce,False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1939,1930 to 1939 (Depression),Arts & Crafts,Residence,False,False,False,False
CHINATOWN,7,Community Historic Resource,1950,1946 to 1956 (Oil Boom),Unknown,Mixed Use,False,False,False,False
RIDEAU PARK,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Community,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1886,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1889,1885 to 1905 (Railway/Early Settlement),Italianate,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,True,True,False,False
SUNNYSIDE,7,Community Historic Resource,1923,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Chicago Commercial Style,Mixed Use,True,True,False,False
BELTLINE,8,City Wide Historic Resource,1891,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,True,False,False,False
WINSTON HEIGHTS/MOUNTVIEW,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
HILLHURST,7,City Wide Historic Resource,1921,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,False,False,False
BELTLINE,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1946,1946 to 1956 (Oil Boom),Unknown,Commerce,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1915,1914 to 1918 (WWI),Edwardian Commercial,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
SUNALTA,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Other,Residence,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SOUTH CALGARY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1888,1885 to 1905 (Railway/Early Settlement),Italianate,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Art Deco,Commerce,False,False,False,False
ROSEDALE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Residence,False,True,False,False
Bankview,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,True,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SPRINGBANK HILL,6,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Dutch Colonial Revival,Residence,False,False,False,False
HILLHURST,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1930,1930 to 1939 (Depression),American Colonial Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Colonial Revival,Residence,False,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Unknown,Industry,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN EAST VILLAGE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,True,False
