Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,Community Historic Resource,1958,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Industry,False,False,True,False
INGLEWOOD,9,City Wide Historic Resource,1939,1930 to 1939 (Depression),Unknown,Industry,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1902,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1967,1957 to 1982 (Modern),Unknown,Community,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Chicago Commercial Style,Commerce,True,False,False,False
MANCHESTER INDUSTRIAL,9,City Wide Historic Resource,1923,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,"Religion, Ritual and Funeral",False,False,False,False
ELBOW PARK,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,True,False,False
RAMSAY,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Industry,False,True,False,False
BELTLINE,8,A,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,True,False
BELTLINE,8,A,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,True,False
BELTLINE,8,A,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,True,False
BELTLINE,8,A,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,True,False
BELTLINE,8,A,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1925,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Community,True,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Unknown,Industry,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1875,1875 to 1884 (Frontier),Unknown,Industry,False,False,False,False
WEST HILLHURST,7,City Wide Historic Resource,1965,1957 to 1982 (Modern),(Neo)Expressionist,Industry,False,False,False,False
CHINATOWN,7,City Wide Historic Resource,1992,1983 Onward,Post-modern,Leisure,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,True,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1935,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Commerce,False,False,True,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1891,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1887,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Leisure,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Stripped Classical,Community,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1903,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,True,True,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1957,1957 to 1982 (Modern),International,Community,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Gothic Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1931,1930 to 1939 (Depression),Beaux-Arts,Government,False,True,False,False
SADDLE RIDGE INDUSTRIAL,5,Community Historic Resource,1961,1957 to 1982 (Modern),Unknown,Leisure,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1915,1914 to 1918 (WWI),Edwardian Commercial,Commerce,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1968,1957 to 1982 (Modern),Unknown,Community,False,False,False,False
ELBOYA,11,City Wide Historic Resource,1953,1946 to 1956 (Oil Boom),Modern Ranch,Residence,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Commerce,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1962,1957 to 1982 (Modern),Unknown,Community,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,False,False,False,False
Renfrew,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,True,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Commerce,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
COLLINGWOOD,4,City Wide Historic Resource,1967,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,False,False
OGDEN,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
MISSION,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
OGDEN,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
OGDEN,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
SILVER SPRINGS,1,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
FISH CREEK PARK,13,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
OGDEN SHOPS,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
