,Name,Community,Year of Construction,probability
594,McCormick House,SCARBORO,1912,0.45834503
606,McLellan Residence,SHAGANAPPI,1914,0.4538382
833,St. Andrew’s Presbyterian Church,INGLEWOOD,1911,0.4535839
420,Hamilton Apartments,INGLEWOOD,1912,0.45313564
93,Beaumont Circus,RENFREW,1945,0.45091408
11,1409 15 Street SW,SUNALTA,1911,0.44848645
614,Mewata Armoury,DOWNTOWN WEST END,1917,0.4461523
35,Acme Fruit Co.,DOWNTOWN COMMERCIAL CORE,1911,0.44549152
453,Hillocks Residence,Crescent Heights,1912,0.43976763
948,Western Canada High School,CLIFF BUNGALOW,1929,0.4389056
676,Original Riverside Iron Works,CRESCENT HEIGHTS,1913,0.43701437
848,St. Joseph's Roman Catholic Church,MOUNT PLEASANT,1914,0.43618777
400,Grand Trunk Cottage School,WEST HILLHURST,1911,0.43579313
540,Lancaster Building,DOWNTOWN COMMERCIAL CORE,1912,0.43121174
403,Grant Residence,PARKDALE,1912,0.43105456
53,Alfred E. McKay Residence,PARKDALE,1912,0.43105456
216,Central Methodist Church,DOWNTOWN COMMERCIAL CORE,1905,0.43069515
43,Albert Wright Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.4305094
51,Alexander Cran Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.4305094
561,Louis Wade Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.4305094
368,Frederick Wright Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.4305094
421,Harold Wright Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.4305094
815,Skarzynski Residence,CRESCENT HEIGHTS,1912,0.4284904
223,Chinese National League (Ho Lem Block),CHINATOWN,1911,0.42501152
198,Canton Block Extension,CHINATOWN,1911,0.42501152
244,Compton Apartments,DOWNTOWN COMMERCIAL CORE,1930,0.42393196
123,Brady Residence,INGLEWOOD,1911,0.42375156
468,Hudson's Bay Company Department Store (1913),DOWNTOWN COMMERCIAL CORE,1913,0.42359886
544,Langner Spherical House,HUNTINGTON HILLS,1971,0.42201787
384,George Edworthy Residence,SCARBORO,1931,0.42071196
554,Lindsay's Folly,RIDEAU PARK,1913,0.41713104
912,Tuxedo Park School,TUXEDO PARK,1920,0.41695195
15,412 11 ST NW,HILLHURST,1912,0.41474593
762,Roughton Residence,CLIFF BUNGALOW,1912,0.41435027
430,Healy Apartments,BELTLINE,1912,0.41132402
759,Rossmore Apartments,BELTLINE,1912,0.41132402
333,Emmons Residence,South Calgary,1912,0.40988475
639,Neelands (Elliot) Residence,BANKVIEW,1912,0.40988475
276,Dalton Residence,BANKVIEW,1912,0.40988475
669,Ogden Federal Elevator,ALYTH/BONNYBROOK,1914,0.40690446
33,A.L. Crooks Residence,SCARBORO,1912,0.40681925
610,Memorial Drive,SUNNYSIDE,1922,0.40651888
740,Rideau Towers,RIDEAU PARK,1955,0.40546387
645,New East Ward (Alexandra) School,INGLEWOOD,1907,0.40403584
442,Hickle Residence,SUNALTA,1914,0.4034167
847,St. Joseph's Parish Centre,MOUNT PLEASANT,1960,0.4033277
439,Hextall (Shouldice) Bridge,MONTGOMERY,1910,0.40218964
908,Trinity Methodist Church,INGLEWOOD,1912,0.40192205
975,Yale Apartments,CLIFF BUNGALOW,1913,0.401626
959,William J. Shields Residence,INGLEWOOD,1903,0.39963657
121,Brad House K3: Currie Barracks,CURRIE BARRACKS,1938,0.39796606
844,St. John Elementary School,HILLHURST,1916,0.39785165
286,Denoon Residence,WOODBINE,1951,0.3972455
654,Norman Block,DOWNTOWN COMMERCIAL CORE,1904,0.3970619
875,Stocks (Mayor Leslie) Residence,GLENMORE PARK,1913,0.39287886
574,Macpherson Fruit Company,DOWNTOWN COMMERCIAL CORE,1905,0.3920414
511,John Coventry Residence,INGLEWOOD,1911,0.39167857
678,Oscar England Residence,INGLEWOOD,1911,0.39167857
448,Hillhurst Baptist Church,HILLHURST,1907,0.39143166
443,Hicks Block,TUXEDO PARK,1912,0.39093763
568,MacKay & Dippie Block,DOWNTOWN COMMERCIAL CORE,1909,0.39083844
399,Grain Exchange Building,DOWNTOWN COMMERCIAL CORE,1909,0.39083844
877,Strathcona School (Old),ELBOW PARK,1910,0.38995436
14,24th Avenue Cottage School,CLIFF BUNGALOW,1911,0.3871414
467,Hudson's Bay Company Department Store (1891),DOWNTOWN COMMERCIAL CORE,1891,0.38661224
736,Ricardo Ranch,SETON,1887,0.38612077
907,Trinity Lutheran Church,EAU CLAIRE,1910,0.38594228
404,Graphic Arts (Western Printing) Building,EAU CLAIRE,1911,0.385509
219,Chapin Residence,UPPER MOUNT ROYAL,1912,0.38231185
971,Worker's Cottages,MANCHESTER,1913,0.38211504
317,East End Livery,INGLEWOOD,1909,0.37999237
366,Fraser Block,INGLEWOOD,1911,0.3769196
162,Calgary Hardware,DOWNTOWN COMMERCIAL CORE,1891,0.37476406
471,Hunter Block (Riley Park Grocery),HILLHURST,1912,0.37448257
930,W.O. Mitchell Residence,ROXBORO,1946,0.37394038
10,12 Mile Coulee Archaeological Sites,TUSCANY,1912,0.372649
155,Calgary Brewing & Malting Co. Site,INGLEWOOD,1875,0.37051266
401,Grand Trunk Pacific Railway Bridge (Bonnybrook),OGDEN,1911,0.3702034
412,Gresham Block,INGLEWOOD,1911,0.36777675
541,Landeryou Residence,CRESCENT HEIGHTS,1913,0.3672099
423,Harvard Apartments,LOWER MOUNT ROYAL,1912,0.36571306
54,Alfred S. McKay Residence,POINT MCKAY,1905,0.3638989
646,New Place Cottage - No. 10,INGLEWOOD,1913,0.363715
937,Watson Residence,ROSEDALE,1911,0.36346897
717,Queen Elizabeth Junior and Senior  High School,HILLHURST,1930,0.3628877
904,Triad Building,DOWNTOWN COMMERCIAL CORE,1956,0.362279
153,Calgary Brewing & Malting Co. – Boiler House & Smokestack,INGLEWOOD,1905,0.3612928
81,Bank of Nova Scotia - West End Branch,LOWER MOUNT ROYAL,1927,0.35756716
551,Leeson & Lineham Block,DOWNTOWN COMMERCIAL CORE,1910,0.35756662
224,Chinese National League Hall,CHINATOWN,1954,0.35748732
504,Jefferies Park,RAMSAY,1934,0.35706073
77,Balmoral School,TUXEDO PARK,1914,0.35694283
281,Davidson Residence,ROSEDALE,1913,0.35672876
633,Mount Royal Block,LOWER MOUNT ROYAL,1911,0.35601428
192,Canadian Pacific Railway Bonnybrook Bridge,OGDEN,1912,0.3558975
346,Fire Hall No. 5 (1952),SOUTH CALGARY,1952,0.35570708
92,Beaudry House,ELBOW PARK,1932,0.35543466
220,Chevra Kadisha Chapel,SCARBORO,1961,0.35517234
222,Chinese Masonic Hall,CHINATOWN,1912,0.35467142
