,Name,Community,Year of Construction,probability
5,10th Calgary Troop Boy Scout Hall (Sara Scout Hall),RIDEAU PARK,1927,0.010118216
290,Diamond Residence,DOWNTOWN COMMERCIAL CORE,1912,0.010090249
645,New East Ward (Alexandra) School,INGLEWOOD,1907,0.010052472
625,Molson's Bank,DOWNTOWN COMMERCIAL CORE,1911,0.00982439
458,Holiday Inn (Ramada Hotel),DOWNTOWN COMMERCIAL CORE,1964,0.009812499
811,Simonelli Residence,KILLARNEY/GLENGARRY,1955-1956,0.009726211
841,St. Gabriel's Anglican Church,MOUNT PLEASANT,1960,0.009680679
226,Christ Church,ELBOW PARK,1912-1914; 1921; 1954,0.009679802
137,Brydon Residence,UPPER MOUNT ROYAL,1908,0.009655068
168,Calgary Moravian Church,BRIDGELAND/RIVERSIDE,1913,0.009615754
580,Malcolm Davis Residence,UPPER MOUNT ROYAL,1912,0.009612189
345,Fire Hall No. 5,SCARBORO,1910,0.009568948
282,Davis Residence,BELTLINE,1905,0.009536055
392,Glenmore Dam,GLENMORE PARK,1932,0.009509636
908,Trinity Methodist Church,INGLEWOOD,1912,0.009302759
599,McDowell Duplex,BRIDGELAND/RIVERSIDE,1912,0.0092132045
765,Rundle Ruins/General Hospital #2,BELTLINE,1899,0.009191462
75,Balmoral Bungalow School,TUXEDO PARK,1919,0.009181115
835,St. Ann’s Presbytery,RAMSAY,1913,0.009154627
502,James and Louie Taylor Residence,SOUTH CALGARY,1912,0.009134632
735,Reverend George McDougall Memorial Site,PANORAMA HILLS,1976,0.009081226
427,Haultain School,BELTLINE,1894,0.00907312
201,Cappy Smart Residence,SUNNYSIDE,1914,0.009069391
793,Shaganappi Point Golf Course,SHAGANAPPI,1915,0.009050028
384,George Edworthy Residence,SCARBORO,1931,0.0090053305
41,Aikenhead Residence,UPPER MOUNT ROYAL,1929,0.008909047
662,NOVA Building Complex,DOWNTOWN COMMERCIAL CORE,1979,0.008857605
108,Black Block,INGLEWOOD,1904,0.008778826
238,College Apartments,CLIFF BUNGALOW,1911,0.008751401
435,Herbert and Barbara Taylor Residence,SOUTH CALGARY,1912,0.008733512
154,Calgary Brewing & Malting Co. – Engine Room & Water Well,INGLEWOOD,1913,0.008568193
592,McClary Residence,GLENBROOK,1929,0.008546415
619,Millican Residence (Twin Gables),CLIFF BUNGALOW,1914,0.008523544
665,Oddfellows' Hall,INGLEWOOD,1950,0.008333288
92,Beaudry House,ELBOW PARK,1932,0.008313958
587,Mayland Heights Elementary School,MAYLAND HEIGHTS,1968,0.0082925595
445,Hilderman Residence,BRIDGELAND/RIVERSIDE,1912,0.008071629
325,Education Centre Building,DOWNTOWN COMMERCIAL CORE,1969,0.0080574555
745,River Park (Sandy Beach) Pedestrian Bridge,ALTADORE,1959,0.008001688
170,Calgary Petroleum Club,DOWNTOWN COMMERCIAL CORE,1957,0.007843827
9,12 Avenue Elbow River Bridge,BELTLINE,1911,0.00781743
686,Parkhill Public School,PARKHILL,1912,0.007815915
897,Tigerstedt Block,CRESCENT HEIGHTS,1928,0.0077873906
185,Canadian Bank of Commerce,BELTLINE,1912,0.007750592
467,Hudson's Bay Company Department Store (1891),DOWNTOWN COMMERCIAL CORE,1891,0.007680583
423,Harvard Apartments,LOWER MOUNT ROYAL,1912,0.0076437653
415,Guichon Residence,SCARBORO,1923,0.007600484
610,Memorial Drive,SUNNYSIDE,1922,0.0075812833
223,Chinese National League (Ho Lem Block),CHINATOWN,1911,0.0075185616
838,St. Barnabas Anglican Church,HILLHURST,1912,0.00746544
968,Woods Residence,ELBOW PARK,1911,0.0074482
636,Naismith Residence & Carriage House,UPPER MOUNT ROYAL,1910,0.007387309
659,Northwestern Brass Foundry,ALYTH/BONNYBROOK,1913,0.0073406063
135,Brower House,SUNNYSIDE,1907,0.007086041
410,Green Residence,CRESCENT HEIGHTS,1922,0.0070482404
888,T.R. Stuart & Co.,DOWNTOWN COMMERCIAL CORE,1908,0.0069912113
588,Mayland Heights Safeway,MAYLAND HEIGHTS,1963,0.0069394824
532,King George School,MOUNT PLEASANT,1913,0.0069323913
76,Balmoral Circus,TUXEDO PARK,1934,0.0069142156
374,Gallelli Block,BRIDGELAND/RIVERSIDE,1912,0.006849925
783,Scotsman's Hill,RAMSAY,1879.0,0.0068374216
688,Paskapoo Slope Archaeological Sites,PATTERSON,-1000,0.0067719766
155,Calgary Brewing & Malting Co. Site,INGLEWOOD,1875,0.0066532944
560,Lougheed House,BELTLINE,1891,0.006597171
674,Olympic Saddledome,BELTLINE,1981,0.006569314
95,Befus Block,INGLEWOOD,1910,0.006541827
264,Crescent Heights Library,CRESCENT HEIGHTS,1939,0.006540204
442,Hickle Residence,SUNALTA,1914,0.0065387073
292,Dillabough-Nickle Residence,UPPER MOUNT ROYAL,1951,0.0065058256
797,Shelbourne Building,DOWNTOWN COMMERCIAL CORE,1958,0.006490511
38,AGT Elbow Park (Peter Rule),ELBOW PARK,"1928, 1951",0.0063586854
945,Westbourne Baptist Church,BELTLINE,1910,0.006339784
73,Avonlea Apartments,MISSION,1914,0.006339285
31,A. B. C. Dando Residence,HILLHURST,1913,0.006307263
857,St. Michael's Anglican Church,CRESCENT HEIGHTS,1929,0.0062926477
713,Pryce-Jones Department Store,BELTLINE,"1911 (additions 1911, 191",0.00625201
609,Medical Centre Building,DOWNTOWN COMMERCIAL CORE,1957,0.0061940732
508,Jennison (Dingman) Residence,CLIFF BUNGALOW,1909,0.0061747716
562,Louise (Hillhurst) Bridge,HILLHURST,1921,0.006147044
738,Rideau Elementary and Junior High School,RIDEAU PARK,1930,0.0060249865
10,12 Mile Coulee Archaeological Sites,TUSCANY,-1000,0.0060102097
886,Sunnyside Grocery,SUNNYSIDE,1911,0.00599919
387,Giffin (Despins) Residence,CLIFF BUNGALOW,1913,0.005946081
307,Dunsmoor Residence,HILLHURST,1912-1913,0.005883556
291,Dick House,UPPER MOUNT ROYAL,1912,0.0058150287
680,Palfreyville Apartments,SUNNYSIDE,1911,0.005803192
334,Engle Building,BELTLINE,1912,0.005752035
336,Evangelical Lutheran Immanuel Church,CRESCENT HEIGHTS,1902,0.0057065864
184,Canadian Bank of Commerce,INGLEWOOD,1911,0.00570594
78,Balmoral Workers Cottages,TUXEDO PARK,1912,0.005633424
474,Hyde Residence,UPPER MOUNT ROYAL,1911,0.0056176414
454,Himmelman Boathouse,CLIFF BUNGALOW,1926,0.005572918
62,Army & Navy Store,DOWNTOWN COMMERCIAL CORE,1928,0.00555522
795,Sharon Evangelical Lutheran Church,CRESCENT HEIGHTS,1931,0.005531092
494,Jackson Ranch House,SHAGANAPPI,1906,0.005509172
624,Moderne House,MOUNT PLEASANT,1944,0.0055077695
926,Victoria Pavilion,BELTLINE,1919,0.0054968
919,Union Cemetery Mortuary,MANCHESTER INDUSTRIAL,1908,0.005473893
577,Mahood (Mannix) Residence,CLIFF BUNGALOW,1912,0.0054604453
304,Dr. Messenger House,ELBOW PARK,1931,0.0054503214
510,John A. Tweddle Residence,HILLHURST,1913,0.005426722
90,Bay Parkade,DOWNTOWN COMMERCIAL CORE,1956,0.005424692
